outcome,sample,model,omitted_park,estimate,std_error,p_value,n_obs,parks,converged,error,stars
total_crime,all_main_events,baseline_ppml,"",0.0349938923501088,0.0567850024820822,0.537727969309051,2415,9,TRUE,"",""
total_crime,all_main_events,unit_specific_linear_trend,"",-0.0159324253580886,0.0479876378985186,0.739880925972423,2415,9,TRUE,"",""
theft,all_main_events,baseline_ppml,"",0.0827610474745133,0.127670280955963,0.516829407313457,2387,9,TRUE,"",""
theft,all_main_events,unit_specific_linear_trend,"",0.0313822527078918,0.0873241710632211,0.7193134717005,2387,9,TRUE,"",""
non_theft,all_main_events,baseline_ppml,"",0.0131897577922635,0.039390441392472,0.737740759562086,2401,9,TRUE,"",""
non_theft,all_main_events,unit_specific_linear_trend,"",-0.0362126786279052,0.0547162864925246,0.508082534986293,2401,9,TRUE,"",""
day_crime,all_main_events,baseline_ppml,"",0.0754723171808179,0.0676962698889474,0.26490754742785,2408,9,TRUE,"",""
day_crime,all_main_events,unit_specific_linear_trend,"",-0.0103460831844827,0.0562507077874853,0.854069896819793,2408,9,TRUE,"",""
night_crime,all_main_events,baseline_ppml,"",-0.00649484873001324,0.054662708257677,0.905420488995388,2401,9,TRUE,"",""
night_crime,all_main_events,unit_specific_linear_trend,"",-0.0189634239154039,0.0656281703505656,0.772617726952656,2401,9,TRUE,"",""
total_crime,strict_first_openings,baseline_ppml,"",0.0251502100370063,0.0624623047118739,0.68720851257427,1568,6,TRUE,"",""
theft,strict_first_openings,baseline_ppml,"",0.0441016867053318,0.106087107546349,0.677620738144487,1554,6,TRUE,"",""
non_theft,strict_first_openings,baseline_ppml,"",0.0102809814352574,0.0549955055361693,0.851705942453293,1561,6,TRUE,"",""
day_crime,strict_first_openings,baseline_ppml,"",0.0486963047757896,0.0697494254649901,0.485076727169232,1561,6,TRUE,"",""
night_crime,strict_first_openings,baseline_ppml,"",-0.00266493047682034,0.0673772862579857,0.968450011331183,1561,6,TRUE,"",""
total_crime,leave_one_park_out,baseline_ppml,Robert E. Venable Park,0.0258993750415467,0.060167008418703,0.666862452736349,2128,8,TRUE,"",""
theft,leave_one_park_out,baseline_ppml,Robert E. Venable Park,0.0780144862530552,0.132865758607856,0.557091061031566,2100,8,TRUE,"",""
non_theft,leave_one_park_out,baseline_ppml,Robert E. Venable Park,0.00226281751328237,0.0414627176431767,0.95647725412982,2114,8,TRUE,"",""
day_crime,leave_one_park_out,baseline_ppml,Robert E. Venable Park,0.0712293233917391,0.0714215068144686,0.31861446600235,2121,8,TRUE,"",""
night_crime,leave_one_park_out,baseline_ppml,Robert E. Venable Park,-0.0209217803421633,0.0575437192157064,0.716171210700311,2114,8,TRUE,"",""
total_crime,leave_one_park_out,baseline_ppml,Betty Carter Park,0.031248794897837,0.0622469528062786,0.615658202691038,2170,8,TRUE,"",""
theft,leave_one_park_out,baseline_ppml,Betty Carter Park,0.0881657287445391,0.149764266070542,0.556064754113093,2142,8,TRUE,"",""
non_theft,leave_one_park_out,baseline_ppml,Betty Carter Park,0.006990948996321,0.0415992289204625,0.866540188707741,2156,8,TRUE,"",""
