outcome,event_time,estimate,std_error,p_value,converged,n_obs,error,stars
total_crime,-3,-0.14682905511203,0.0532150533220416,0.0057949459237153,TRUE,2415,"",**
total_crime,-2,-0.0870821497830336,0.038723514259477,0.0245240548570759,TRUE,2415,"",*
total_crime,0,-0.0407383509965098,0.0347609434119928,0.241214089021117,TRUE,2415,"",""
total_crime,1,-0.0276590608039971,0.0488031908657564,0.57088610059562,TRUE,2415,"",""
total_crime,2,-0.0377864441370152,0.0626390813373048,0.546348566543795,TRUE,2415,"",""
total_crime,3,-0.0639834271330513,0.0789926167063389,0.417944485958392,TRUE,2415,"",""
theft,-3,-0.167400868156159,0.141317637581506,0.236186848721128,TRUE,2387,"",""
theft,-2,-0.0519517984820789,0.0786441314524044,0.50887306772196,TRUE,2387,"",""
theft,0,0.0222284201444661,0.0546065633686116,0.683960256449439,TRUE,2387,"",""
theft,1,0.00858105285757247,0.0631076141035633,0.891841106752421,TRUE,2387,"",""
theft,2,-0.0154965054115135,0.113391804183848,0.891296889042628,TRUE,2387,"",""
theft,3,0.0235900195955991,0.157592003683294,0.881008834829339,TRUE,2387,"",""
non_theft,-3,-0.138081404653787,0.0569077469299092,0.015249121810817,TRUE,2401,"",*
non_theft,-2,-0.107094858635117,0.0407546416066761,0.00859401951693945,TRUE,2401,"",**
non_theft,0,-0.0743102436023149,0.0430145151319876,0.084066772995676,TRUE,2401,"",""
non_theft,1,-0.0382035189553339,0.0641770304349757,0.551654070190392,TRUE,2401,"",""
non_theft,2,-0.0534844640916111,0.0661426924291283,0.418732364032794,TRUE,2401,"",""
non_theft,3,-0.107788484772962,0.0624296231151213,0.0842467302162561,TRUE,2401,"",""
day_crime,-3,-0.180587326237364,0.0633217979016269,0.0043459005711953,TRUE,2408,"",**
day_crime,-2,-0.0890720181519136,0.0473173068408055,0.0597762216082747,TRUE,2408,"",""
day_crime,0,-0.0219687931133234,0.0414516297486073,0.596121475787143,TRUE,2408,"",""
day_crime,1,-0.0232431503208348,0.0549528457237035,0.672320532720655,TRUE,2408,"",""
day_crime,2,0.0219057106822286,0.0703816480437416,0.755616809696635,TRUE,2408,"",""
day_crime,3,-0.0340870352017161,0.0927132963712279,0.713126249855699,TRUE,2408,"",""
night_crime,-3,-0.111879620857173,0.0710885723064779,0.115532309026169,TRUE,2401,"",""
night_crime,-2,-0.0827144855484508,0.0544688039469682,0.128871720132547,TRUE,2401,"",""
night_crime,0,-0.0582763086593877,0.0516388544703601,0.25909360255955,TRUE,2401,"",""
night_crime,1,-0.0319009183013202,0.0709504807312906,0.652982806099443,TRUE,2401,"",""
night_crime,2,-0.0994478657930169,0.0760847577336445,0.191190003386893,TRUE,2401,"",""
night_crime,3,-0.0965850876626038,0.0885199644182679,0.275224138766148,TRUE,2401,"",""
