city,sample,model,estimator,outcome,treatment,scale_value,estimate,std_error,p_value,stars,incidence_rate_ratio,percent_effect_one_unit,percent_effect_one_sd,n_obs,full_n_obs,n_grids,n_parks,converged,status,error
New York City,main,continuous_exposure_ppml,fixest::fepois,total_crime,exposure_250,250,0.049419815578817,0.0568025986570512,0.384285446407542,"",1.05066134216552,5.0661342165518,1.05730010959948,2415,2982,345,9,TRUE,success,""
New York City,main,continuous_exposure_ppml,fixest::fepois,total_crime,exposure_500,500,0.0349938923501088,0.0567850024820822,0.537727969309051,"",1.03561338361634,3.56133836163375,0.842844333535564,2415,2982,345,9,TRUE,success,""
New York City,main,continuous_exposure_ppml,fixest::fepois,total_crime,exposure_1000,1000,0.0270368753225085,0.0690612415991633,0.695434117426396,"",1.02740568798106,2.74056879810616,0.774888638502747,2415,2982,345,9,TRUE,success,""
New York City,main,continuous_exposure_ppml,fixest::fepois,theft,exposure_250,250,0.123197306911117,0.122129434856319,0.313097532977543,"",1.13110757427354,13.110757427354,2.65655186583356,2387,2982,345,9,TRUE,success,""
New York City,main,continuous_exposure_ppml,fixest::fepois,theft,exposure_500,500,0.0827610474745133,0.127670280955963,0.516829407313457,"",1.08628220765642,8.62822076564182,2.00481706853057,2387,2982,345,9,TRUE,success,""
New York City,main,continuous_exposure_ppml,fixest::fepois,theft,exposure_1000,1000,0.0582618219997858,0.161303838941912,0.71795515376679,"",1.05999248873497,5.99924887349717,1.67728394651252,2387,2982,345,9,TRUE,success,""
New York City,main,continuous_exposure_ppml,fixest::fepois,non_theft,exposure_250,250,0.0146277639795196,0.036189612805582,0.686067228717886,"",1.01473527328634,1.47352732863415,0.311792327755023,2401,2982,345,9,TRUE,success,""
New York City,main,continuous_exposure_ppml,fixest::fepois,non_theft,exposure_500,500,0.0131897577922635,0.039390441392472,0.737740759562086,"",1.01327712634836,1.32771263483586,0.316851121879402,2401,2982,345,9,TRUE,success,""
New York City,main,continuous_exposure_ppml,fixest::fepois,non_theft,exposure_1000,1000,0.0130035426086681,0.0505515665689694,0.79699873519382,"",1.0130884563294,1.30884563293989,0.371940652238956,2401,2982,345,9,TRUE,success,""
New York City,main,continuous_exposure_ppml,fixest::fepois,day_crime,exposure_250,250,0.0947416569206932,0.0666965051796906,0.155465347056247,"",1.09937480256437,9.93748025643693,2.03675106833712,2408,2982,345,9,TRUE,success,""
New York City,main,continuous_exposure_ppml,fixest::fepois,day_crime,exposure_500,500,0.0754723171808179,0.0676962698889474,0.26490754742785,"",1.07839337433605,7.83933743360514,1.82665128224884,2408,2982,345,9,TRUE,success,""
New York City,main,continuous_exposure_ppml,fixest::fepois,day_crime,exposure_1000,1000,0.0712845632090404,0.0835015564896758,0.393275983557986,"",1.07388677105855,7.3886771058554,2.05602248686674,2408,2982,345,9,TRUE,success,""
New York City,main,continuous_exposure_ppml,fixest::fepois,night_crime,exposure_250,250,0.00230951440087104,0.0547151770776383,0.966331483480435,"",1.00231218338354,0.2312183383544,0.0491630387278397,2401,2982,345,9,TRUE,success,""
New York City,main,continuous_exposure_ppml,fixest::fepois,night_crime,exposure_500,500,-0.00649484873001324,0.054662708257677,0.905420488995388,"",0.993526197211947,-0.647380278805343,-0.15565465853572,2401,2982,345,9,TRUE,success,""
New York City,main,continuous_exposure_ppml,fixest::fepois,night_crime,exposure_1000,1000,-0.0176164257120968,0.06608262951475,0.78979117730688,"",0.982537836338433,-1.74621636615668,-0.501685639109384,2401,2982,345,9,TRUE,success,""
