omitted_park,wald_statistic,p_value,n_obs,converged,error
"",7.61349862459126,0.0222202929165257,2415,TRUE,""
Robert E. Venable Park,7.49592306631206,0.023565734896598,2128,TRUE,""
Betty Carter Park,6.23775182172765,0.0442068329214315,2170,TRUE,""
Chelsea Green,7.67450804612142,0.0215527033880116,2149,TRUE,""
Schmul Park,7.55314923019162,0.0229010019730882,2303,TRUE,""
Richmond Terrace Park,7.93879439815158,0.0188848134877873,2212,TRUE,""
Macombs Dam Park,7.5442912910412,0.0230026547564446,2030,TRUE,""
Starlight Park,11.2535351452626,0.00360019390442149,2065,TRUE,""
Estella Diggs Park,5.35065789233234,0.068884165485282,2128,TRUE,""
River Avenue Parks,9.52770043680028,0.00853269333825868,2135,TRUE,""
