city,outcome,estimand,estimate,std_error,p_value,scale,incidence_rate_ratio,n_obs,n_parks,data_source,support_definition
Shanghai,total_crime,continuous distance-decayed post-opening association,0.357109959222601,0.15865350561513,0.0243931561657799,"PPML log coefficient, lambda=500",1.42919301416677,10121,11,geocoded adjudicated judgment records,existing Shanghai focal-grid analysis support
Shanghai,theft,continuous distance-decayed post-opening association,0.0940747474691801,0.187829723982342,0.616475830986937,"PPML log coefficient, lambda=500",1.09864186354693,9635,11,geocoded adjudicated judgment records,existing Shanghai focal-grid analysis support
Shanghai,non_theft,continuous distance-decayed post-opening association,1.59176206684116,0.451957857518116,0.0004284239385283,"PPML log coefficient, lambda=500",4.91239727895888,4657,11,geocoded adjudicated judgment records,existing Shanghai focal-grid analysis support
Shanghai,day_crime,continuous distance-decayed post-opening association,0.471133693845119,0.172423156265355,0.0062869594984199,"PPML log coefficient, lambda=500",1.60180912538076,7813,11,geocoded adjudicated judgment records,existing Shanghai focal-grid analysis support
Shanghai,night_crime,continuous distance-decayed post-opening association,0.116525254657742,0.216821394378055,0.590974024921804,"PPML log coefficient, lambda=500",1.12358588588589,7837,11,geocoded adjudicated judgment records,existing Shanghai focal-grid analysis support
New York City,total_crime,continuous distance-decayed post-opening association,0.0349938923501088,0.0567850024820822,0.537727969309051,"PPML log coefficient, lambda=500",1.03561338361634,2415,9,NYPD complaint records (felony and misdemeanor),"park-specific grids intersecting a 1,500 m support"
New York City,theft,continuous distance-decayed post-opening association,0.0827610474745133,0.127670280955963,0.516829407313457,"PPML log coefficient, lambda=500",1.08628220765642,2387,9,NYPD complaint records (felony and misdemeanor),"park-specific grids intersecting a 1,500 m support"
New York City,non_theft,continuous distance-decayed post-opening association,0.0131897577922635,0.039390441392472,0.737740759562086,"PPML log coefficient, lambda=500",1.01327712634836,2401,9,NYPD complaint records (felony and misdemeanor),"park-specific grids intersecting a 1,500 m support"
New York City,day_crime,continuous distance-decayed post-opening association,0.0754723171808179,0.0676962698889474,0.26490754742785,"PPML log coefficient, lambda=500",1.07839337433605,2408,9,NYPD complaint records (felony and misdemeanor),"park-specific grids intersecting a 1,500 m support"
New York City,night_crime,continuous distance-decayed post-opening association,-0.0064948487300132,0.054662708257677,0.905420488995388,"PPML log coefficient, lambda=500",0.993526197211947,2401,9,NYPD complaint records (felony and misdemeanor),"park-specific grids intersecting a 1,500 m support"
